As of Date,Facility PFI,Facility Name,DOH Region,Facility County,Facility Network,NY Forward Region,Total Staffed Acute Care Beds,Total Staffed Acute Care Beds Occupied,Total Staffed Acute Care Beds Available,Total Staffed ICU Beds,Total Staffed ICU Beds Currently Occupied,Total Staffed ICU Beds Currently Available
10/13/2025,001139,WESTCHESTER MC (1139),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,WMC HEALTH,MID-HUDSON,526,472,54,155,137,18
10/13/2025,000111,WESTFIELD MEMORIAL HOSPITAL (0111),WESTERN REGIONAL OFFICE - BUFFALO,CHAUTAUQUA,ALLEGHENY HEALTH,WESTERN NEW YORK,4,0,4,0,0,0
10/13/2025,001045,WHITE PLAINS HOSPITAL CENTER (1045),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,330,285,45,22,17,5
10/13/2025,001046,WINIFRED MASTERSON BURKE REHAB (1046),METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,MONTEFIORE HEALTH SYSTEM,MID-HUDSON,149,130,19,0,0,0
10/13/2025,001692,WOODHULL MEDICAL & MENTAL HEALTH (1692),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,245,201,44,21,12,9
10/13/2025,001318,WYCKOFF HEIGHTS MC (1318),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,168,107,61,16,7,9
10/13/2025,015478,WYNN HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ONEIDA,MVHS,MOHAWK VALLEY,377,338,39,44,40,4
10/13/2025,001153,WYOMING COUNTY COMMUNITY HOSPITAL (1153),WESTERN REGIONAL OFFICE - BUFFALO,WYOMING,INDEPENDENT,FINGER LAKES,62,28,34,9,3,6
10/12/2025,000739,A.O. FOX MEMORIAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,OTSEGO,BASSETT HEALTHCARE,MOHAWK VALLEY,67,28,39,0,0,0
10/12/2025,008554,A.O. FOX MEMORIAL TRI-TOWN,CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,BASSETT HEALTHCARE,SOUTHERN TIER,0,0,0,0,0,0
10/12/2025,000324,ADIRONDACK MEDICAL CENTER SARANAC LAKE,CAPITAL DISTRICT REGIONAL OFFICE,FRANKLIN,INDEPENDENT,NORTH COUNTRY,49,23,26,4,2,2
10/12/2025,000001,ALBANY MEDICAL CENTER HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ALBANY MEDICAL CENTER,CAPITAL REGION,666,575,91,84,75,9
10/12/2025,000002,ALBANY MEDICAL CENTER SOUTH CAMPUS,CAPITAL DISTRICT REGIONAL OFFICE,ALBANY,ALBANY MEDICAL CENTER,CAPITAL REGION,0,0,0,0,0,0
10/12/2025,000116,ARNOT OGDEN MEDICAL CENTER,WESTERN REGIONAL OFFICE - ROCHESTER,CHEMUNG,ARNOT HEALTH,SOUTHERN TIER,194,104,90,28,11,17
10/12/2025,000085,AUBURN COMMUNITY HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,CAYUGA,INDEPENDENT,CENTRAL NEW YORK,115,71,44,10,8,2
10/12/2025,001438,BELLEVUE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,747,670,77,71,53,18
10/12/2025,000280,BERTRAND CHAFFEE HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,15,4,11,0,0,0
10/12/2025,001138,BLYTHEDALE CHILDREN'S HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,WESTCHESTER,INDEPENDENT,MID-HUDSON,0,0,0,0,0,0
10/12/2025,000708,BON SECOURS COMMUNITY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,WMC HEALTH,MID-HUDSON,97,42,55,8,0,8
10/12/2025,001164,BRONXCARE HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,143,78,65,0,0,0
10/12/2025,001178,BRONXCARE HOSPITAL CENTER (1178),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,479,292,187,37,34,3
10/12/2025,001288,BROOKLYN CENTER DOWNTOWN,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,193,126,67,17,10,7
10/12/2025,000098,BROOKS TLC HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,CHAUTAUQUA,INDEPENDENT,WESTERN NEW YORK,20,8,12,5,3,2
10/12/2025,000207,BUFFALO GENERAL MEDICAL CENTER,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,KALEIDA HEALTH,WESTERN NEW YORK,500,416,84,82,78,4
10/12/2025,010223,CALVARY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,INDEPENDENT,NEW YORK CITY,25,22,3,0,0,0
10/12/2025,001175,CALVARY HOSPITAL (1175),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,INDEPENDENT,NEW YORK CITY,196,181,15,0,0,0
10/12/2025,000815,CANTON POTSDAM HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,97,75,22,6,2,4
10/12/2025,000379,CARTHAGE AREA HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,JEFFERSON,INDEPENDENT,NORTH COUNTRY,25,21,4,4,4,0
10/12/2025,000977,CAYUGA MEDICAL CENTER ITHACA,CENTRAL NEW YORK REGIONAL OFFICE,TOMPKINS,CAYUGA HEALTH,SOUTHERN TIER,150,82,68,16,8,8
10/12/2025,000128,CHENANGO MEMORIAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,CHENANGO,UNITED HEALTH SERVICES,SOUTHERN TIER,27,10,17,2,2,0
10/12/2025,000798,CLAXTON HEPBURN MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,NORTH STAR HEALTH,NORTH COUNTRY,25,22,3,6,4,2
10/12/2025,000817,CLIFTON FINE HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,INDEPENDENT,NORTH COUNTRY,0,0,0,0,0,0
10/12/2025,000676,CLIFTON SPRINGS HOSPITAL & CLINIC,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,ROCHESTER REGIONAL HEALTH,FINGER LAKES,80,70,10,6,6,0
10/12/2025,010216,COBLESKILL REGIONAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,SCHOHARIE,BASSETT HEALTHCARE,MOHAWK VALLEY,33,12,21,0,0,0
10/12/2025,000146,COLUMBIA MEMORIAL HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,COLUMBIA,ALBANY MEDICAL CENTER,CAPITAL REGION,103,79,24,6,3,3
10/12/2025,000401,COMMUNITY MEMORIAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,MADISON,INDEPENDENT,CENTRAL NEW YORK,25,23,2,0,0,0
10/12/2025,001294,CONEY ISLAND HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,374,356,18,38,27,11
10/12/2025,000866,CORNING HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,THE GUTHRIE CLINIC,SOUTHERN TIER,63,48,15,8,5,3
10/12/2025,000959,CROUSE COMMONWEALTH DIVISION,CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,CROUSE HEALTH,CENTRAL NEW YORK,34,29,5,0,0,0
10/12/2025,000636,CROUSE HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ONONDAGA,CROUSE HEALTH,CENTRAL NEW YORK,270,244,26,25,20,5
10/12/2025,000037,CUBA MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,INDEPENDENT,WESTERN NEW YORK,10,7,3,0,0,0
10/12/2025,010355,DAVID H. KOCH CANCER CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,MEMORIAL SLOAN KETTERING,NEW YORK CITY,13,8,5,0,0,0
10/12/2025,000581,DEGRAFF MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,KALEIDA HEALTH,WESTERN NEW YORK,0,0,0,0,0,0
10/12/2025,000174,DELAWARE VALLEY HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,UNITED HEALTH SERVICES,SOUTHERN TIER,21,9,12,0,0,0
10/12/2025,001002,ELLENVILLE REGIONAL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,INDEPENDENT,MID-HUDSON,25,16,9,0,0,0
10/12/2025,000829,ELLIS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ELLIS MEDICINE,CAPITAL REGION,364,181,183,62,16,46
10/12/2025,000848,ELLIS HOSPITAL BELLEVUE WOMAN'S,CAPITAL DISTRICT REGIONAL OFFICE,SCHENECTADY,ELLIS MEDICINE,CAPITAL REGION,70,17,53,0,0,0
10/12/2025,001626,ELMHURST HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NYC H+H,NEW YORK CITY,449,390,59,29,23,6
10/12/2025,000210,ERIE COUNTY MEDICAL CENTER,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,INDEPENDENT,WESTERN NEW YORK,516,458,58,40,32,8
10/12/2025,000678,F.F. THOMPSON HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,UNIVERSITY OF ROCHESTER,FINGER LAKES,103,87,16,12,11,1
10/12/2025,001628,FLUSHING HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,183,108,75,22,12,10
10/12/2025,000699,GARNET HEALTH MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ORANGE,GARNET HEALTH,MID-HUDSON,421,318,103,40,15,25
10/12/2025,000971,GARNET HEALTH MEDICAL CENTER CATSKILLS,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,SULLIVAN,GARNET HEALTH,MID-HUDSON,85,28,57,11,2,9
10/12/2025,000968,GARNET HEALTH MEDICAL CENTER HERMANN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,SULLIVAN,GARNET HEALTH,MID-HUDSON,15,2,13,0,0,0
10/12/2025,000671,GENEVA GENERAL HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,ONTARIO,FINGER LAKES HEALTH,FINGER LAKES,43,42,1,6,3,3
10/12/2025,000490,GLEN COVE HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,186,131,55,15,6,9
10/12/2025,001005,GLENS FALLS HOSPITAL,CAPITAL DISTRICT REGIONAL OFFICE,WARREN,INDEPENDENT,CAPITAL REGION,204,136,68,16,9,7
10/12/2025,000925,GOOD SAMARITAN MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,"CATHOLIC HEALTH, LI",LONG ISLAND,355,304,51,51,40,11
10/12/2025,000779,GOOD SAMARITAN SUFFERN,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,WMC HEALTH,MID-HUDSON,284,150,134,49,28,21
10/12/2025,000812,GOUVERNEUR HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,25,17,8,0,0,0
10/12/2025,000158,GUTHRIE CORTLAND MEDICAL CENTER,CENTRAL NEW YORK REGIONAL OFFICE,CORTLAND,THE GUTHRIE CLINIC,CENTRAL NEW YORK,83,52,31,9,5,4
10/12/2025,001445,HARLEM HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,208,163,45,0,0,0
10/12/2025,000989,HEALTHALLIANCE MARY'S AVE,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ULSTER,WMC HEALTH,MID-HUDSON,316,75,241,86,6,80
10/12/2025,000775,HELEN HAYES HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW ROCHELLE,ROCKLAND,INDEPENDENT,MID-HUDSON,72,42,30,0,0,0
10/12/2025,001486,HENRY J. CARTER SPECIALTY HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NYC H+H,NEW YORK CITY,201,119,82,0,0,0
10/12/2025,000409,HIGHLAND HOSPITAL,WESTERN REGIONAL OFFICE - ROCHESTER,MONROE,UNIVERSITY OF ROCHESTER,FINGER LAKES,330,297,33,14,12,2
10/12/2025,001447,HOSPITAL FOR SPECIAL SURGERY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,INDEPENDENT,NEW YORK CITY,137,93,44,4,0,4
10/12/2025,000913,HUNTINGTON HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,SUFFOLK,NORTHWELL HEALTH,LONG ISLAND,323,216,107,34,24,10
10/12/2025,000873,IRA DAVENPORT MEMORIAL,WESTERN REGIONAL OFFICE - ROCHESTER,STEUBEN,ARNOT HEALTH,SOUTHERN TIER,0,0,0,0,0,0
10/12/2025,001165,JACOBI MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,370,269,101,44,19,25
10/12/2025,001629,JAMAICA HOSPITAL MEDICAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,MEDISYS HEALTH NETWORK,NEW YORK CITY,321,273,48,26,24,2
10/12/2025,000039,JONES MEMORIAL HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ALLEGANY,UNIVERSITY OF ROCHESTER,WESTERN NEW YORK,33,15,18,5,3,2
10/12/2025,000267,KENMORE MERCY HOSPITAL,WESTERN REGIONAL OFFICE - BUFFALO,ERIE,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,170,134,36,14,3,11
10/12/2025,001301,KINGS COUNTY HOSPITAL CENTER,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,NYC H+H,NEW YORK CITY,459,435,24,40,38,2
10/12/2025,000012,LAKEVIEW MENTAL HEALTH & WELLNESS,CENTRAL NEW YORK REGIONAL OFFICE,OSWEGO,OSWEGO HEALTH,CENTRAL NEW YORK,22,9,13,0,0,0
10/12/2025,009700,LENOX HEALTH GREENWICH VILLAGE,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,0,0,0,0,0,0
10/12/2025,001450,LENOX HILL HOSPITAL,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,NEW YORK,NORTHWELL HEALTH,NEW YORK CITY,559,297,262,48,40,8
10/12/2025,000383,LEWIS COUNTY GENERAL HOSPITAL,CENTRAL NEW YORK REGIONAL OFFICE,LEWIS,INDEPENDENT,NORTH COUNTRY,33,11,22,5,2,3
10/12/2025,001172,LINCOLN MEDICAL & MENTAL HEALTH (1172),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,BRONX,NYC H+H,NEW YORK CITY,346,245,101,34,25,9
10/12/2025,000362,LITTLE FALLS HOSPITAL (0362),CENTRAL NEW YORK REGIONAL OFFICE,HERKIMER,BASSETT HEALTHCARE,MOHAWK VALLEY,28,16,12,0,0,0
10/12/2025,015464,LOCKPORT MEMORIAL HOSPITAL (15464),WESTERN REGIONAL OFFICE - BUFFALO,NIAGARA,CATHOLIC HEALTH BUFFALO,WESTERN NEW YORK,10,23,-13,0,0,0
10/12/2025,001630,LONG ISLAND JEWISH MC (1630),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,576,528,48,54,29,25
10/12/2025,001638,LONG ISLAND JEWISH: FOREST HILLS (1638),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,QUEENS,NORTHWELL HEALTH,NEW YORK CITY,231,192,39,17,14,3
10/12/2025,000518,LONG ISLAND JEWISH: VALLEY STREAM (0518),METROPOLITAN AREA REGIONAL OFFICE - LONG ISLAND,NASSAU,NORTHWELL HEALTH,LONG ISLAND,201,121,80,16,10,6
10/12/2025,001305,MAIMONIDES MC (1305),METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,MAIMONIDES HEALTH,NEW YORK CITY,627,475,152,62,46,16
10/12/2025,001293,MAIMONIDES MIDWOOD COMMUNITY,METROPOLITAN AREA REGIONAL OFFICE - NEW YORK CITY,KINGS,MAIMONIDES HEALTH,NEW YORK CITY,120,90,30,3,7,-4
10/12/2025,000170,MARGARETVILLE HOSPITAL (0170),CAPITAL DISTRICT REGIONAL OFFICE,DELAWARE,WMC HEALTH,SOUTHERN TIER,24,9,15,0,0,0
10/12/2025,000746,MARY IMOGENE BASSETT HOSPITAL (0746),CAPITAL DISTRICT REGIONAL OFFICE,OTSEGO,BASSETT HEALTHCARE,MOHAWK VALLEY,218,145,73,13,13,0
10/12/2025,000804,MASSENA HOSPITAL (0804),CENTRAL NEW YORK REGIONAL OFFICE,ST. LAWRENCE,ST. LAWRENCE HEALTH,NORTH COUNTRY,32,18,14,0,0,0
